	CAPHI	IPA	Sound	Letter	HSB	Mapping	Example CODA	Example	Example Gloss	Example Dialect	Consonant/Vowel	CAPHI sorting order	CODA sorting order	audio URL	audio icon
74	h	h	hot	ه	h	default	مهم	m u h i m m	important	Aswan	consonant	35	39	https://drive.google.com/file/d/0BxiVQ46wWCOFTVNVd2ZKeEkyajQ/view?usp=sharing,%20	🔊
75	m	m	met	م	m	default	مكّن	m a k k a n	he gave	Sana’a	consonant	36	37	https://drive.google.com/file/d/0BxiVQ46wWCOFYWY3VDJLcUtEcWM/view?usp=sharing,%20	🔊
76	m	m	met	ن	n		جنب	j a m b	besides	Jeddah	consonant	36	38	https://drive.google.com/file/d/0BxiVQ46wWCOFVXgtZU1Vb2ZnNVE/view?usp=sharing,%20	🔊
77	m.	mˤ	emphatic m	م	m	default	ميّ	m. a y y	water	Damascus	consonant	37	37	https://drive.google.com/file/d/0BxiVQ46wWCOFT0VjUEI2eWVWMTQ/view?usp=sharing,%20	🔊
78	n	n	net	ن	n	default	فنّ	f a n n	art	Baghdad	consonant	38	38	https://drive.google.com/file/d/0BxiVQ46wWCOFRUZwcDZpTXpNQnM/view?usp=sharing,%20	🔊
79	n	n	net	ً	ã		فعلاً	f i 3 l a n	indeed	Cairo	consonant	38	43	https://drive.google.com/file/d/0BxiVQ46wWCOFZ2pwczIzVVRmMXM/view?usp=sharing,%20	🔊
80	n	n	net	ٌ	ũ		جميلٌ	dj a m ii l u n	beautiful	MSA	consonant	38	44	https://drive.google.com/file/d/0BxiVQ46wWCOFaDJIYkRVSVlTUEU/view?usp=sharing,%20	🔊
81	n	n	net	ٍ	ĩ		غصبٍ	gh a s. b i n	forcefly	Abu Dhabi	consonant	38	45	https://drive.google.com/file/d/0BxiVQ46wWCOFbElrZVpDWVBnT2c/view?usp=sharing,%20	🔊
82	n.	nˤ	emphatic n	ن	n	default	ناي	n. aa y	flute	Damascus	consonant	39	38	https://drive.google.com/file/d/0BxiVQ46wWCOFVzhubFc5V0VzNFE/view?usp=sharing,%20	🔊
83	r	r	Spanish r	ر	r	default	روج	r uu j	red	Tunis	consonant	40	17	https://drive.google.com/file/d/0BxiVQ46wWCOFU0FkM0xKc3NpUUk/view?usp=sharing,%20	🔊
84	r.	rˤ	emphatic r	ر	r	default	فرنسي	f a r. a n s i	french	Khartoum	consonant	41	17	https://drive.google.com/file/d/0BxiVQ46wWCOFeTRZTU4tMm02QkU/view?usp=sharing,%20	🔊
85	l	l	German Lied	ل	l	default	لازم	l aa z i m	necessary	Riyadh	consonant	42	36	https://drive.google.com/file/d/0BxiVQ46wWCOFTU43NjlWSmN3c0k/view?usp=sharing,%20	🔊
86	l.	lˤ	emphatic l	ل	l	default	لطش	l. a t. a sh	he stole	Khartoum	consonant	43	36	https://drive.google.com/file/d/0BxiVQ46wWCOFOWZFNlFHYkhqRUE/view?usp=sharing,%20	🔊
87	w	w	wet	و	w	default	ولد	w a l d	boy	Sana’a	consonant	44	40	https://drive.google.com/file/d/0BxiVQ46wWCOFTVc2Sy14ZFlMdk0/view?usp=sharing,%20	🔊
88	y	j	yet	ي	y	default	هايل	h aa y i l	great	Alexandria	consonant	45	42	https://drive.google.com/file/d/0BxiVQ46wWCOFUG16d0N3bll3bFU/view?usp=sharing,%20	🔊
89	y	j	yet	ج	j		جلس	y a l a s	he sat down	Abu Dhabi	consonant	45	12	https://drive.google.com/file/d/0BxiVQ46wWCOFcndUbmdfRnlBS00/view?usp=sharing,%20	🔊
90	i	i	bit	ِ	i	default	مرشِد	m u r sh i d	guide	Mosul	vowel	46	48	https://drive.google.com/file/d/0BxiVQ46wWCOFT3hnelotRUZrQTA/view?usp=sharing,%20	🔊
91	i	i	bit	ة	ħ		سمكة	s a m a k i	fish	Beirut	vowel	46	9	https://drive.google.com/file/d/0BxiVQ46wWCOFek4wTXJjWm0xNlU/view?usp=sharing,%20	🔊
92	i	i	bit	ه	h		فواكه	f w ee k i	fruits	Beirut	vowel	46	39		
93	i	i	bit	ي	y		نسي	n i s i	he forgot	Sana’a	vowel	46	42	https://drive.google.com/file/d/0BxiVQ46wWCOFaFRJaTY5MU0xY2M/view?usp=sharing,%20	🔊
94	ii	ī	beat	ي	y	default	مزيكة	m a z z ii k a	music	Alexandria	vowel	47	42	https://drive.google.com/file/d/0BxiVQ46wWCOFSXRsVUVzUGxyQUE/view?usp=sharing,%20	🔊
95	e	e	short ē	ِ	i	default	باكِر	b aa k e r	tomorrow	Muscat	vowel	48	48		
96	e	e	short ē	ة	ħ		ستّة	s i t t e	six	Damascus	vowel	48	9	https://drive.google.com/file/d/0BxiVQ46wWCOFQUp1VkszZUluczg/view?usp=sharing,%20	🔊
97	e	e	short ē	َي	ay		غَيرهم	gh e r h o m	other than them	Cairo	vowel	48	#N/A		
98	ee	ē	fate	َي	ay	default	ستَيشن	s t ee sh a n	station	Muscat	vowel	49	#N/A	https://drive.google.com/file/d/0BxiVQ46wWCOFMjljM1doTHY0VWs/view?usp=sharing,%20	🔊
99	ee	ē	fate	ِا	iA		حِاسب	7 ee s a b	he paid	Beirut	vowel	49	#N/A	https://drive.google.com/file/d/0BxiVQ46wWCOFNjE2YTNWSXYwUDg/view?usp=sharing,%20	🔊
100	a	a, æ	gut	َ	a	default	جَرَّب	dj a r r a b	he tried	Sana’a	vowel	50	46	https://drive.google.com/file/d/0BxiVQ46wWCOFb3BVLVBjSWwydzA/view?usp=sharing,%20	🔊
101	a	a, æ	gut	ا	A		سما	s a m a	sky	Cairo	vowel	50	7	https://drive.google.com/file/d/0BxiVQ46wWCOFRGRHc2h3TENGb3c/view?usp=sharing,%20	🔊
102	a	a, æ	gut	ة	ħ		شيبة	sh ee b a	old man	Jeddah	vowel	50	9	https://drive.google.com/file/d/0BxiVQ46wWCOFQWRma1Nybl8zaGs/view?usp=sharing,%20	🔊
103	a	a, æ	gut	ه	h		شافته	sh aa f i t a	she saw him	Doha	vowel	50	39	https://drive.google.com/file/d/0BxiVQ46wWCOFWFRzMXVkSkIyZjg/view?usp=sharing,%20	🔊
104	a	a, æ	gut	ى	ý		حمّى	7 o m m a	fever	Muscat	vowel	50	41	https://drive.google.com/file/d/0BxiVQ46wWCOFZThtSUhVLTdsQTA/view?usp=sharing,%20	🔊
105	aa	ā, æ:	bat	ا	A	default	دار	d aa r	house	Abu Dhabi	vowel	51	7	https://drive.google.com/file/d/0BxiVQ46wWCOFZ0U0OGxEa2paV2c/view?usp=sharing,%20	🔊
106	o	o	short ō	ُ	u	default	قُلت	2 o l t	I said	Cairo	vowel	52	47	https://drive.google.com/file/d/0BxiVQ46wWCOFM2h6MUpXeVFMYjg/view?usp=sharing,%20	🔊
107	o	o	short ō	ه	h		جبته	j i b t o	I brought it	Damascus	vowel	52	39	https://drive.google.com/file/d/0BxiVQ46wWCOFTGtTZUpvdTUyQTQ/view?usp=sharing,%20	🔊
108	o	o	short ō	و	w		الو	2 a l o	hello	Amman	vowel	52	40	https://drive.google.com/file/d/0BxiVQ46wWCOFN3NQMUpFbGpNNVk/view?usp=sharing,%20	🔊
109	oo	ō	boat	و	w	default	دور	d oo r	turn	Damascus	vowel	53	40	https://drive.google.com/file/d/0BxiVQ46wWCOFd1gwS1k2d3M5UWM/view?usp=sharing,%20	🔊
110	u	u	put	ُ	u	default	جُبن	dj u b i n	cheese	Doha	vowel	54	47	https://drive.google.com/file/d/0BxiVQ46wWCOFaGVHZHhwaUVOMjA/view?usp=sharing,%20	🔊
111	u	u	put	ه	h		جبته	g i b t u	I brought it	Cairo	vowel	54	39	https://drive.google.com/file/d/0BxiVQ46wWCOFdHlzTk44MFp4QXc/view?usp=sharing,%20	🔊
112	u	u	put	و	w		كتابكو	k i t a b k u	your [2p] book	Cairo	vowel	54	40	https://drive.google.com/file/d/0BxiVQ46wWCOFdzlJZG5DUDhfLVE/view?usp=sharing,%20	🔊
113	u	u	put	وا	wA		كنتوا	k i n t u	you [2p] were	Beirut	vowel	54	#N/A	https://drive.google.com/file/d/0BxiVQ46wWCOFTmhFSmJhMmgteWM/view?usp=sharing,%20	🔊
114	uu	ū	boot	و	w	default	بلوزة	b l uu z a	blouse	Jeddah	vowel	55	40	https://drive.google.com/file/d/0BxiVQ46wWCOFR3YweVpmRHVZTWc/view?usp=sharing,%20	🔊
